499 38  6864 0.66 
631 63  4386 0.77 
462 114  13472 0.37 
828 87  6748 0.81 
951 121  15576 0.69 
715 119  12594 0.59 
223 158  5229 0.87 
363 182  5302 0.68 
989 234  8925 0.58 
192 274  4340 0.75 
684 285  5091 0.84 
378 281  3172 0.66 
326 336  6419 0.81 
878 360  10950 0.57 
515 452  16675 0.65 
679 433  10580 0.83 
780 444  11330 0.65 
206 442  12442 0.87 
882 514  10971 0.68 
791 544  5443 0.73 
274 572  7941 0.77 
112 579  1836 0.86 
803 624  15018 0.55 
644 626  5908 0.7 
1004 651  3828 0.63 
937 688  9412 0.72 
94 668  2834 0.74 
274 698  8374 0.6 
677 693  3977 0.71 
367 721  4370 0.76 
24 746  4344 0.78 
721 767  8684 0.6 
461 794  5826 0.82 
339 799  5446 0.74 
898 864  10202 0.74 
654 854  7091 0.59 
793 876  15293 0.57 
410 893  7046 0.7 
554 962  5611 0.67 
75 951  6015 0.82 
23 1008  1520 0.57 
