498 38  11487 0.65 
630 63  7409 0.75 
462 113  22780 0.36 
827 87  11408 0.79 
950 120  26274 0.67 
715 118  21274 0.57 
223 158  8839 0.85 
363 181  8964 0.66 
989 234  15154 0.58 
191 273  7330 0.73 
684 284  8608 0.81 
377 281  5377 0.65 
325 335  10842 0.77 
877 360  18494 0.56 
515 452  28216 0.63 
679 432  17890 0.8 
779 444  19139 0.64 
206 441  21017 0.85 
881 514  18556 0.66 
790 543  9198 0.71 
274 572  13428 0.74 
112 578  3101 0.83 
802 624  25384 0.54 
643 626  9987 0.68 
1003 651  6440 0.61 
937 687  15903 0.69 
94 668  4784 0.72 
273 698  14150 0.57 
676 693  6716 0.7 
366 720  7396 0.73 
24 745  7254 0.76 
720 767  14673 0.58 
460 794  9847 0.78 
339 799  9196 0.73 
897 864  17255 0.72 
653 854  11984 0.58 
793 876  25845 0.55 
409 893  11906 0.68 
553 961  9496 0.65 
74 950  10170 0.8 
23 1008  2504 0.55 
