299 23  868 0.1 
478 25  1087 0.01 
598 37  1750 0.03 
859 38  309 0.02 
897 184  104 0.07 
618 186  1576 0.03 
298 184  958 0.02 
185 182  1603 0.06 
632 257  946 0.04 
65 357  1890 0.05 
325 373  826 0.02 
923 425  1766 0.07 
948 494  750 0.02 
830 516  1355 0.02 
747 563  1686 0.08 
468 609  1732 0.04 
98 673  1164 0.01 
770 700  2055 0.14 
502 739  2072 0.05 
122 830  2936 0.02 
982 840  698 0.03 
862 835  1338 0.06 
718 863  0 0.0 
176 878  740 0.02 
265 900  2116 0.25 
878 905  1808 0.09 
471 966  1110 0.05 
743 992  1678 0.15 
82 1003  708 0.01 
