501 34  6100 0.59 
631 63  3728 0.56 
463 114  11748 0.29 
827 88  5992 0.66 
954 120  14350 0.52 
717 118  11336 0.44 
223 158  4490 0.67 
364 182  4526 0.46 
991 232  8148 0.5 
193 272  3590 0.49 
685 285  4310 0.67 
378 281  2418 0.54 
325 335  5526 0.51 
877 360  9596 0.4 
517 454  15087 0.5 
679 432  9620 0.65 
779 443  10492 0.57 
208 440  11196 0.59 
881 515  9882 0.56 
793 544  5028 0.56 
275 571  6846 0.51 
112 579  1380 0.56 
804 624  13636 0.43 
644 625  5089 0.52 
1004 653  3546 0.6 
939 684  8615 0.58 
94 668  2213 0.51 
273 696  7185 0.42 
677 694  3396 0.49 
367 720  3634 0.56 
21 746  3843 0.62 
721 765  7554 0.46 
462 794  4997 0.6 
341 799  4596 0.5 
896 864  9304 0.59 
655 853  6062 0.41 
797 876  14068 0.48 
411 891  6098 0.46 
553 959  4666 0.62 
77 949  5228 0.62 
21 1010  1266 0.48 
