110 67  28250 0.77 
264 71  17272 0.78 
383 42  8943 0.82 
625 66  14844 0.8 
779 11  3298 0.38 
897 91  24352 0.61 
523 206  26910 0.75 
338 180  6693 0.69 
708 222  21512 0.66 
280 199  4730 0.62 
94 214  19886 0.67 
840 269  20498 0.77 
271 277  8592 0.63 
940 324  10261 0.63 
87 340  22755 0.61 
309 375  25240 0.71 
646 393  21414 0.75 
976 414  13944 0.76 
112 448  28018 0.61 
387 443  14480 0.48 
216 572  49094 0.72 
448 536  22842 0.71 
593 554  15224 0.67 
735 552  8228 0.69 
26 644  4527 0.33 
915 626  15062 0.74 
402 704  26976 0.73 
567 694  35052 0.66 
178 800  71214 0.77 
677 759  14568 0.76 
1003 748  4330 0.68 
13 814  3952 0.3 
333 811  2771 0.81 
848 824  6604 0.85 
294 951  49704 0.57 
693 948  18112 0.85 
539 898  4254 0.8 
29 955  3844 0.62 
496 984  5070 0.69 
827 981  6812 0.61 
912 1002  7436 0.49 
